train | 1:6.71860 | 2:4.68104 | 3:4.83311
train | 1:6.83221 | 2:4.84619 | 3:4.96752
train | 1:6.68088 | 2:4.79708 | 3:4.92009
train | 1:6.61258 | 2:4.64222 | 3:4.77199
train | 1:6.54465 | 2:4.33426 | 3:4.47825
train | 1:6.46171 | 2:4.25393 | 3:4.38484
train | 1:6.56451 | 2:4.54230 | 3:4.67274
train | 1:6.53262 | 2:4.62961 | 3:4.75145
train | 1:6.53528 | 2:4.54330 | 3:4.69542
train | 1:6.64320 | 2:4.57706 | 3:4.72683
train | 1:6.77225 | 2:4.57987 | 3:4.77587
train | 1:6.57245 | 2:4.60140 | 3:4.79870
train | 1:6.43863 | 2:4.43451 | 3:4.57085
train | 1:6.55643 | 2:4.46634 | 3:4.60948
train | 1:6.90100 | 2:4.84807 | 3:4.99644
train | 1:6.79020 | 2:4.73805 | 3:4.86067
train | 1:6.70206 | 2:4.61826 | 3:4.77011
train | 1:6.49645 | 2:4.45463 | 3:4.61574
train | 1:6.82516 | 2:4.70187 | 3:4.76090
train | 1:6.55090 | 2:4.54001 | 3:4.66470
train | 1:6.82459 | 2:4.67313 | 3:4.81430
train | 1:6.49009 | 2:4.58660 | 3:4.71960
train | 1:6.62798 | 2:4.53134 | 3:4.66919
train | 1:6.48215 | 2:4.57802 | 3:4.69634
train | 1:6.61066 | 2:4.60095 | 3:4.77284
train | 1:6.64711 | 2:4.45159 | 3:4.62791
train | 1:6.65085 | 2:4.73830 | 3:4.85863
train | 1:6.33401 | 2:4.30907 | 3:4.43102
train | 1:6.44526 | 2:4.53516 | 3:4.67137
train | 1:6.64228 | 2:4.70427 | 3:4.84641
train | 1:6.37100 | 2:4.39744 | 3:4.52293
train | 1:6.62452 | 2:4.63317 | 3:4.77093
train | 1:6.55303 | 2:4.65106 | 3:4.78086
train | 1:6.57293 | 2:4.54734 | 3:4.63581
train | 1:6.66567 | 2:4.79229 | 3:4.90689
val | 1:6.51327 | 2:4.76970 | 3:4.95435
train | 1:6.70054 | 2:4.77300 | 3:4.93613
train | 1:6.46858 | 2:4.40015 | 3:4.54543
train | 1:6.69217 | 2:4.81877 | 3:4.94046
