0 val 1:10.98923397064209 | 2:9.885680198669434
384 train 1:-5.938029766082764 | 2:-6.299135208129883
385 train 1:-5.973512649536133 | 2:-6.311086654663086
386 train 1:-6.026251316070557 | 2:-6.342404365539551
387 train 1:-5.697608947753906 | 2:-6.056654930114746
388 train 1:-5.947044849395752 | 2:-6.314125061035156
389 train 1:-6.168691635131836 | 2:-6.46312141418457
390 train 1:-6.010155200958252 | 2:-6.329246997833252
391 train 1:-5.916997909545898 | 2:-6.236913681030273
392 train 1:-6.227884769439697 | 2:-6.485238075256348
393 train 1:-6.06473445892334 | 2:-6.328969478607178
394 train 1:-5.685969829559326 | 2:-6.086295127868652
395 train 1:-5.979728698730469 | 2:-6.366738796234131
396 train 1:-5.884668350219727 | 2:-6.21068000793457
397 train 1:-5.891497611999512 | 2:-6.262563705444336
398 train 1:-5.70454216003418 | 2:-6.079312324523926
399 train 1:-5.784845352172852 | 2:-6.171704292297363
400 train 1:-5.867031097412109 | 2:-6.210285186767578
401 train 1:-6.019414901733398 | 2:-6.28890323638916
402 train 1:-5.97244930267334 | 2:-6.296867370605469
403 train 1:-5.931597709655762 | 2:-6.273204803466797
404 train 1:-5.762965679168701 | 2:-6.155342102050781
405 train 1:-5.678691864013672 | 2:-6.013731002807617
406 train 1:-5.706254482269287 | 2:-5.981507301330566
407 train 1:-5.802555084228516 | 2:-6.15828800201416
408 train 1:-5.604090690612793 | 2:-6.063041687011719
409 train 1:-5.835537433624268 | 2:-6.205700874328613
410 train 1:-6.388760089874268 | 2:-6.58553409576416
411 train 1:-5.830061912536621 | 2:-6.238033294677734
412 train 1:-5.997387886047363 | 2:-6.354659080505371
413 train 1:-5.771406173706055 | 2:-6.167990684509277
414 train 1:-5.858078956604004 | 2:-6.194729804992676
415 train 1:-5.689131736755371 | 2:-6.124238967895508
416 train 1:-5.873578071594238 | 2:-6.2955498695373535
417 train 1:-5.789911270141602 | 2:-6.158205986022949
418 train 1:-6.201393127441406 | 2:-6.521054744720459
419 train 1:-5.845915794372559 | 2:-6.251273155212402
420 train 1:-5.742544174194336 | 2:-6.16079044342041
421 train 1:-5.897539138793945 | 2:-6.249994277954102
422 train 1:-5.847241401672363 | 2:-6.163116455078125
423 train 1:-5.8476386070251465 | 2:-6.194693565368652
424 train 1:-5.858259201049805 | 2:-6.287993431091309
425 train 1:-5.669770240783691 | 2:-6.121870994567871
426 train 1:-5.860159397125244 | 2:-6.2849507331848145
427 train 1:-5.970025062561035 | 2:-6.348999977111816
428 train 1:-5.764036178588867 | 2:-6.180200576782227
429 train 1:-5.8545613288879395 | 2:-6.220362663269043
430 train 1:-5.835058212280273 | 2:-6.220163345336914
431 train 1:-5.902653694152832 | 2:-6.1955060958862305
432 train 1:-5.809985160827637 | 2:-6.198960781097412
433 train 1:-5.802254676818848 | 2:-6.194972515106201
434 train 1:-5.739179611206055 | 2:-6.164997100830078
435 train 1:-5.717896461486816 | 2:-6.105897903442383
436 train 1:-5.677084445953369 | 2:-6.103405475616455
437 train 1:-6.068367958068848 | 2:-6.424327373504639
438 train 1:-5.7325944900512695 | 2:-6.15350341796875
439 train 1:-5.7409467697143555 | 2:-6.141386032104492
440 train 1:-5.702526569366455 | 2:-6.097448348999023
441 train 1:-5.898379802703857 | 2:-6.2869977951049805
442 train 1:-5.83446741104126 | 2:-6.1818766593933105
443 train 1:-5.680400848388672 | 2:-6.089224815368652
444 train 1:-5.614011287689209 | 2:-6.082242012023926
445 train 1:-5.745469570159912 | 2:-6.099512100219727
446 train 1:-5.716851711273193 | 2:-6.058685302734375
447 train 1:-5.61890172958374 | 2:-6.091522216796875
448 train 1:-5.665395736694336 | 2:-6.080602645874023
449 train 1:-5.6728973388671875 | 2:-6.099099159240723
450 train 1:-5.785053730010986 | 2:-6.160992622375488
451 train 1:-5.862709999084473 | 2:-6.224498748779297
452 train 1:-5.804407119750977 | 2:-6.201385498046875
453 train 1:-5.755212783813477 | 2:-6.159343719482422
454 train 1:-5.71724796295166 | 2:-6.166600227355957
455 train 1:-5.713839530944824 | 2:-6.1227545738220215
456 train 1:-5.674056053161621 | 2:-6.091939926147461
457 train 1:-5.75022029876709 | 2:-6.1825175285339355
458 train 1:-5.720457077026367 | 2:-6.127377510070801
459 train 1:-5.781398773193359 | 2:-6.18435001373291
460 train 1:-5.500417709350586 | 2:-5.969812393188477
461 train 1:-5.543988227844238 | 2:-6.018265247344971
462 train 1:-5.7414140701293945 | 2:-6.122591018676758
463 train 1:-5.842227935791016 | 2:-6.29229736328125
464 train 1:-5.716073036193848 | 2:-6.098339080810547
465 train 1:-5.650206565856934 | 2:-6.062280654907227
466 train 1:-5.8000946044921875 | 2:-6.202686309814453
467 train 1:-5.8750457763671875 | 2:-6.291547775268555
468 train 1:-6.2237467765808105 | 2:-6.60230827331543
469 train 1:-5.58795166015625 | 2:-6.087325096130371
470 train 1:-5.901723861694336 | 2:-6.287410736083984
471 train 1:-5.8000712394714355 | 2:-6.24513053894043
472 train 1:-5.569821357727051 | 2:-6.075725555419922
473 train 1:-5.958148002624512 | 2:-6.389365196228027
474 train 1:-5.731865406036377 | 2:-6.121672630310059
475 train 1:-6.105320930480957 | 2:-6.352458953857422
476 train 1:-5.578734397888184 | 2:-6.03530216217041
477 train 1:-5.720610618591309 | 2:-6.180389404296875
478 train 1:-5.869950294494629 | 2:-6.266121864318848
479 train 1:-5.788573265075684 | 2:-6.089038848876953
480 train 1:-5.9127960205078125 | 2:-6.288702964782715
481 train 1:-5.728062152862549 | 2:-6.135752201080322
482 train 1:-5.721397399902344 | 2:-6.1095123291015625
483 train 1:-5.602320671081543 | 2:-6.041658401489258
484 train 1:-5.654359340667725 | 2:-6.179858207702637
485 train 1:-5.400622367858887 | 2:-5.9373698234558105
486 train 1:-5.573033332824707 | 2:-6.027338027954102
487 train 1:-5.461400985717773 | 2:-5.939704895019531
488 train 1:-5.508509159088135 | 2:-6.002932548522949
489 train 1:-5.467442989349365 | 2:-5.981453895568848
